timeline,Japan Tobacco
31 Dec 2007,$57.26B
31 Dec 2009,$32.22B
30 Nov 2011,$44.49B
30 Dec 2011,$44.36B
31 Dec 2012,$54.04B
28 Feb 2013,$63.34B
29 Mar 2013,$63.7B
30 Apr 2013,$68.45B
31 May 2013,$62.19B
28 Jun 2013,$64.67B
31 Jul 2013,$63.49B
30 Aug 2013,$61.64B
30 Sep 2013,$65.57B
31 Oct 2013,$65.48B
29 Nov 2013,$61.44B
31 Dec 2013,$59.24B
31 Jan 2014,$56.53B
28 Feb 2014,$57.51B
31 Mar 2014,$57.22B
30 Apr 2014,$59.46B
30 May 2014,$61.52B
30 Jun 2014,$66.18B
31 Jul 2014,$64.52B
29 Aug 2014,$62.45B
30 Sep 2014,$59.26B
31 Oct 2014,$62.67B
28 Nov 2014,$58.64B
31 Dec 2014,$50.63B
30 Jan 2015,$49.67B
27 Feb 2015,$57.42B
31 Mar 2015,$57.55B
30 Apr 2015,$64.32B
29 May 2015,$66.63B
30 Jun 2015,$64.59B
31 Jul 2015,$70.5B
31 Aug 2015,$64.92B
30 Sep 2015,$56.01B
30 Oct 2015,$63.25B
30 Nov 2015,$65.25B
31 Dec 2015,$66.45B
29 Jan 2016,$70.19B
29 Feb 2016,$70.67B
31 Mar 2016,$74.72B
29 Apr 2016,$75.04B
31 May 2016,$71.12B
30 Jun 2016,$71.47B
29 Jul 2016,$68.76B
31 Aug 2016,$69.76B
30 Sep 2016,$72.87B
31 Oct 2016,$68.38B
30 Nov 2016,$62.81B
30 Dec 2016,$59.18B
31 Jan 2017,$57.34B
28 Feb 2017,$59.66B
31 Mar 2017,$57.95B
28 Apr 2017,$59.66B
31 May 2017,$67.23B
30 Jun 2017,$63.1B
31 Jul 2017,$62.14B
31 Aug 2017,$61.01B
29 Sep 2017,$58.71B
31 Oct 2017,$59.38B
30 Nov 2017,$59.47B
29 Dec 2017,$57.6B
31 Jan 2018,$59.49B
28 Feb 2018,$50.8B
30 Mar 2018,$51.56B
30 Apr 2018,$48.23B
31 May 2018,$48.36B
29 Jun 2018,$50.16B
31 Jul 2018,$51.24B
31 Aug 2018,$47.14B
28 Sep 2018,$46.85B
31 Oct 2018,$46.04B
30 Nov 2018,$44.58B
31 Dec 2018,$42.48B
31 Jan 2019,$45.19B
28 Feb 2019,$45.59B
29 Mar 2019,$44.26B
30 Apr 2019,$40.9B
31 May 2019,$40.42B
28 Jun 2019,$39.16B
31 Jul 2019,$39.52B
30 Aug 2019,$37.49B
30 Sep 2019,$38.87B
31 Oct 2019,$40.03B
29 Nov 2019,$40.39B
31 Dec 2019,$39.62B
31 Jan 2020,$37.72B
20 Feb 2020,$36.15B
28 Feb 2020,$34.67B
5 Mar 2020,$35.64B
31 Mar 2020,$32.76B
1 Apr 2020,$32.41B
13 Apr 2020,$32.1B
30 Apr 2020,$33.51B
29 May 2020,$35.17B
30 Jun 2020,$32.99B
2 Jul 2020,$32.82B
16 Jul 2020,$32.54B
29 Jul 2020,$31.44B
31 Jul 2020,$30.6B
6 Aug 2020,$32.86B
13 Aug 2020,$33.63B
20 Aug 2020,$33.6B
31 Aug 2020,$33.32B
2 Sep 2020,$33.05B
10 Sep 2020,$33.36B
16 Sep 2020,$33.21B
23 Sep 2020,$33.02B
30 Sep 2020,$32.23B
8 Oct 2020,$33.56B
15 Oct 2020,$33.78B
22 Oct 2020,$33.38B
28 Oct 2020,$33.68B
30 Oct 2020,$33.42B
5 Nov 2020,$34.99B
13 Nov 2020,$35.9B
25 Nov 2020,$36.96B
30 Nov 2020,$36.13B
4 Dec 2020,$36.61B
11 Dec 2020,$36.98B
31 Dec 2020,$36B
8 Jan 2021,$34.96B
29 Jan 2021,$35.33B
5 Feb 2021,$35.95B
12 Feb 2021,$33.55B
26 Feb 2021,$32.09B
5 Mar 2021,$31.79B
17 Mar 2021,$33.57B
24 Mar 2021,$34.07B
30 Mar 2021,$34.89B
5 Apr 2021,$33.51B
9 Apr 2021,$33.68B
21 Apr 2021,$33.88B
30 Apr 2021,$33.3B
7 May 2021,$34.82B
14 May 2021,$35.27B
20 May 2021,$35.41B
21 May 2021,$35.27B
31 May 2021,$34.9B
4 Jun 2021,$35.48B
11 Jun 2021,$35.51B
30 Jun 2021,$33.68B
9 Jul 2021,$33.78B
16 Jul 2021,$34.93B
22 Jul 2021,$34.71B
30 Jul 2021,$35.05B
6 Aug 2021,$35.34B
13 Aug 2021,$34.83B
20 Aug 2021,$35.04B
27 Aug 2021,$34.12B
3 Sep 2021,$35.51B
10 Sep 2021,$35.57B
17 Sep 2021,$34.69B
24 Sep 2021,$35.46B
2 Oct 2021,$34.67B
9 Oct 2021,$34.93B
16 Oct 2021,$35.6B
23 Oct 2021,$35.24B
30 Oct 2021,$35.48B
6 Nov 2021,$36.25B
13 Nov 2021,$35.98B
20 Nov 2021,$34.95B
27 Nov 2021,$35.3B
4 Dec 2021,$35.49B
9 Dec 2021,$36.55B
