timeline,Z Holdings
31 Oct 2003,$27.08B
28 Nov 2003,$23.92B
30 Jan 2004,$25.91B
27 Feb 2004,$33.39B
31 Mar 2004,$42.24B
30 Apr 2004,$41.57B
31 May 2004,$38.24B
30 Jun 2004,$35.25B
30 Jul 2004,$29.4B
31 Aug 2004,$34.92B
30 Sep 2004,$32.59B
29 Oct 2004,$31.86B
30 Nov 2004,$31.53B
31 Dec 2004,$32.72B
31 Jan 2005,$34.92B
31 Mar 2005,$33.42B
29 Apr 2005,$31.29B
31 May 2005,$29.16B
30 Jun 2005,$31.02B
29 Jul 2005,$32.22B
31 Aug 2005,$34.61B
30 Sep 2005,$35.41B
31 Oct 2005,$32.75B
30 Nov 2005,$38.61B
30 Dec 2005,$47.66B
31 Jan 2006,$42.33B
28 Feb 2006,$36.74B
31 Mar 2006,$38.27B
28 Apr 2006,$35.39B
31 May 2006,$31.5B
30 Jun 2006,$32.3B
31 Jul 2006,$25.85B
31 Aug 2006,$23.48B
29 Sep 2006,$23.69B
31 Oct 2006,$24.25B
30 Nov 2006,$24.3B
29 Dec 2006,$25.26B
31 Jan 2007,$24.09B
28 Feb 2007,$23.96B
30 Mar 2007,$21.67B
30 Apr 2007,$22.21B
31 May 2007,$22.23B
29 Jun 2007,$22.31B
31 Jul 2007,$19.81B
31 Aug 2007,$22.87B
28 Sep 2007,$23.19B
31 Oct 2007,$27.25B
30 Nov 2007,$28.42B
31 Dec 2007,$26.66B
31 Jan 2008,$21.75B
29 Feb 2008,$25.09B
31 Mar 2008,$27.62B
30 Apr 2008,$24.55B
30 May 2008,$24.18B
30 Jun 2008,$21.81B
31 Jul 2008,$21.94B
29 Aug 2008,$22.42B
30 Sep 2008,$17.97B
31 Oct 2008,$16.98B
28 Nov 2008,$16.53B
31 Dec 2008,$19.46B
30 Jan 2009,$15.46B
27 Feb 2009,$15.07B
31 Mar 2009,$13.25B
30 Apr 2009,$12.61B
29 May 2009,$12.99B
30 Jun 2009,$15.75B
31 Jul 2009,$15.91B
31 Aug 2009,$16.21B
30 Sep 2009,$15.63B
30 Oct 2009,$14.36B
30 Nov 2009,$13.23B
31 Dec 2009,$14.26B
29 Jan 2010,$17.55B
26 Feb 2010,$17.03B
31 Mar 2010,$17.42B
30 Apr 2010,$18.41B
31 May 2010,$16.37B
30 Jun 2010,$18.23B
30 Jul 2010,$17.01B
31 Aug 2010,$15.47B
30 Sep 2010,$14.75B
29 Oct 2010,$14.4B
30 Nov 2010,$15.34B
31 Dec 2010,$16.11B
31 Jan 2011,$15.83B
28 Feb 2011,$15.73B
31 Mar 2011,$15.22B
29 Apr 2011,$15.13B
31 May 2011,$13.75B
30 Jun 2011,$14.11B
29 Jul 2011,$13.97B
31 Aug 2011,$12.64B
30 Sep 2011,$12.4B
31 Oct 2011,$13B
30 Nov 2011,$12.32B
30 Dec 2011,$12.68B
31 Jan 2012,$11.9B
29 Feb 2012,$13.14B
30 Mar 2012,$13.74B
30 Apr 2012,$12.32B
31 May 2012,$11.7B
29 Jun 2012,$13.2B
31 Jul 2012,$14.62B
31 Aug 2012,$13.77B
28 Sep 2012,$15.21B
31 Oct 2012,$14.05B
30 Nov 2012,$14.16B
31 Dec 2012,$14.25B
31 Jan 2013,$18.39B
28 Feb 2013,$20.08B
29 Mar 2013,$22.15B
30 Apr 2013,$24.71B
31 May 2013,$23.47B
28 Jun 2013,$24.79B
31 Jul 2013,$26.46B
30 Aug 2013,$24.69B
30 Sep 2013,$0.28B
31 Oct 2013,$0.23B
29 Nov 2013,$25.05B
31 Dec 2013,$29.66B
31 Jan 2014,$29.61B
28 Feb 2014,$32.7B
31 Mar 2014,$25.4B
30 Apr 2014,$22.29B
30 May 2014,$23.54B
30 Jun 2014,$23.49B
31 Jul 2014,$23.74B
29 Aug 2014,$21.03B
30 Sep 2014,$20.93B
31 Oct 2014,$19.93B
28 Nov 2014,$21.74B
31 Dec 2014,$21.84B
30 Jan 2015,$20.03B
27 Feb 2015,$24.15B
31 Mar 2015,$24.89B
30 Apr 2015,$24.64B
29 May 2015,$27.9B
30 Jun 2015,$24.79B
31 Jul 2015,$27.25B
31 Aug 2015,$24.64B
30 Sep 2015,$22.78B
30 Oct 2015,$25.85B
30 Nov 2015,$25.44B
31 Dec 2015,$24.79B
29 Jan 2016,$22.83B
29 Feb 2016,$22.33B
31 Mar 2016,$24.04B
29 Apr 2016,$24.89B
31 May 2016,$24.99B
30 Jun 2016,$22.68B
29 Jul 2016,$22.84B
31 Aug 2016,$21.18B
30 Sep 2016,$20.18B
31 Oct 2016,$20.23B
30 Nov 2016,$20.88B
30 Dec 2016,$22.53B
31 Jan 2017,$23.79B
28 Feb 2017,$26.15B
31 Mar 2017,$25.8B
28 Apr 2017,$23.94B
31 May 2017,$24.99B
30 Jun 2017,$24.54B
31 Jul 2017,$25.1B
31 Aug 2017,$25.3B
29 Sep 2017,$26.81B
31 Oct 2017,$25.45B
30 Nov 2017,$25.75B
29 Dec 2017,$25.95B
31 Jan 2018,$26.35B
28 Feb 2018,$24.9B
30 Mar 2018,$24.8B
30 Apr 2018,$22.59B
31 May 2018,$19.88B
29 Jun 2018,$18.47B
31 Jul 2018,$21.34B
31 Aug 2018,$17.12B
28 Sep 2018,$18.33B
31 Oct 2018,$14.2B
30 Nov 2018,$13B
31 Dec 2018,$10.96B
31 Jan 2019,$11.72B
28 Feb 2019,$11.92B
29 Mar 2019,$10.84B
30 Apr 2019,$13.27B
31 May 2019,$14.03B
28 Jun 2019,$18.37B
31 Jul 2019,$13.47B
30 Aug 2019,$11.17B
30 Sep 2019,$12.76B
31 Oct 2019,$14.02B
29 Nov 2019,$15.83B
31 Dec 2019,$19.36B
31 Jan 2020,$18.39B
28 Feb 2020,$16.5B
6 Mar 2020,$16.54B
31 Mar 2020,$14.61B
30 Apr 2020,$17.59B
29 May 2020,$18.47B
30 Jun 2020,$22.09B
31 Jul 2020,$23.39B
20 Aug 2020,$27.47B
31 Aug 2020,$29.61B
24 Sep 2020,$27.68B
30 Sep 2020,$29.36B
15 Oct 2020,$32.17B
22 Oct 2020,$31.29B
30 Oct 2020,$30.45B
5 Nov 2020,$27.66B
12 Nov 2020,$25.38B
19 Nov 2020,$25.75B
30 Nov 2020,$27.59B
18 Dec 2020,$25.64B
30 Dec 2020,$26.22B
8 Jan 2021,$29.18B
22 Jan 2021,$29.39B
29 Jan 2021,$27.32B
9 Feb 2021,$28.24B
26 Feb 2021,$27.24B
11 Mar 2021,$25.33B
19 Mar 2021,$24.41B
26 Mar 2021,$23.52B
1 Apr 2021,$23.65B
7 Apr 2021,$23.42B
13 Apr 2021,$22.97B
30 Apr 2021,$21.21B
7 May 2021,$20.39B
13 May 2021,$18.57B
26 May 2021,$21.1B
31 May 2021,$21.61B
4 Jun 2021,$21B
11 Jun 2021,$21.11B
30 Jun 2021,$37.28B
16 Jul 2021,$38.46B
20 Jul 2021,$38.06B
30 Jul 2021,$38.71B
6 Aug 2021,$42.79B
13 Aug 2021,$43.15B
20 Aug 2021,$45.02B
27 Aug 2021,$47.17B
3 Sep 2021,$50.59B
10 Sep 2021,$48.81B
17 Sep 2021,$51B
24 Sep 2021,$52.11B
2 Oct 2021,$48.99B
9 Oct 2021,$46.93B
16 Oct 2021,$45.77B
23 Oct 2021,$44.22B
30 Oct 2021,$47.2B
6 Nov 2021,$53.05B
20 Nov 2021,$54.84B
27 Nov 2021,$51.09B
4 Dec 2021,$51.05B
9 Dec 2021,$48.96B
