timeline,Itōchū Shōji
Dec 2009,$11.58B
Sep 2010,$14.42B
Oct 2010,$13.66B
Nov 2010,$14.56B
Dec 2010,$15.94B
Jan 2011,$17.17B
Feb 2011,$16.38B
Mar 2011,$16.55B
Apr 2011,$16.26B
May 2011,$16.37B
Jun 2011,$16.31B
Jul 2011,$18.09B
Aug 2011,$16.77B
Sep 2011,$15.4B
Oct 2011,$16.42B
Nov 2011,$15.46B
Dec 2011,$15.91B
Jan 2012,$17.15B
Feb 2012,$18.16B
Mar 2012,$17.34B
Apr 2012,$17.81B
May 2012,$17.17B
Jun 2012,$16.57B
Jul 2012,$16.61B
Aug 2012,$16.02B
Sep 2012,$16.15B
Oct 2012,$15.89B
Dec 2012,$16.67B
Jan 2013,$17.94B
Feb 2013,$18.32B
Mar 2013,$18.98B
Apr 2013,$19.46B
May 2013,$20.02B
Jun 2013,$18.37B
Jul 2013,$18.8B
Aug 2013,$17.91B
Sep 2013,$19.42B
Oct 2013,$18.9B
Nov 2013,$19.95B
Dec 2013,$19.56B
Jan 2014,$19.45B
Feb 2014,$19.56B
Mar 2014,$18.57B
Apr 2014,$17.67B
May 2014,$18.74B
Jun 2014,$20.27B
Jul 2014,$20.39B
Aug 2014,$20.15B
Sep 2014,$20.31B
Oct 2014,$20.29B
Nov 2014,$19.22B
Dec 2014,$17.93B
Jan 2015,$16.83B
Feb 2015,$18.61B
Mar 2015,$17.14B
Apr 2015,$19.66B
May 2015,$21.44B
Jun 2015,$20.83B
Jul 2015,$19.37B
Aug 2015,$18.98B
Sep 2015,$16.58B
Oct 2015,$19.9B
Nov 2015,$19.32B
Dec 2015,$18.92B
Jan 2016,$18.58B
Feb 2016,$18.48B
Mar 2016,$19.48B
Apr 2016,$20.68B
May 2016,$19.83B
Jun 2016,$19.07B
Jul 2016,$17.69B
Aug 2016,$18.77B
Sep 2016,$19.72B
Oct 2016,$20.09B
Nov 2016,$21.96B
Dec 2016,$21.11B
Jan 2017,$21.62B
Feb 2017,$22.81B
Mar 2017,$22.15B
Apr 2017,$22.2B
May 2017,$22.24B
Jun 2017,$23.35B
Jul 2017,$24.78B
Aug 2017,$25.47B
Sep 2017,$25.68B
Oct 2017,$27.43B
Nov 2017,$27.22B
Dec 2017,$29.19B
Jan 2018,$30.83B
Feb 2018,$30.13B
Mar 2018,$30.41B
Apr 2018,$31.19B
May 2018,$29.17B
Jun 2018,$28.16B
Jul 2018,$27.65B
Aug 2018,$27.14B
Sep 2018,$28.44B
Oct 2018,$28.72B
Nov 2018,$26.17B
Dec 2018,$26.03B
Jan 2019,$28.09B
Feb 2019,$27.64B
Mar 2019,$27.75B
Apr 2019,$27.14B
May 2019,$27.38B
Jun 2019,$28.64B
Jul 2019,$28.62B
Aug 2019,$29.7B
Sep 2019,$30.85B
Oct 2019,$31.15B
Nov 2019,$32.39B
Nov 2019,$32.54B
Dec 2019,$34.74B
Jan 2020,$35.19B
Feb 2020,$33.5B
Mar 2020,$33.72B
Mar 2020,$30.92B
Apr 2020,$29.75B
May 2020,$32.03B
Jun 2020,$32.2B
Jul 2020,$32.05B
Jul 2020,$33.31B
Jul 2020,$33.53B
Jul 2020,$32.74B
Aug 2020,$34.13B
Aug 2020,$35.77B
Aug 2020,$36.91B
Aug 2020,$37.19B
Aug 2020,$38.45B
Sep 2020,$39.35B
Sep 2020,$38.47B
Sep 2020,$39.06B
Sep 2020,$37.87B
Oct 2020,$37.74B
Oct 2020,$36.94B
Oct 2020,$35.98B
Oct 2020,$35.97B
Oct 2020,$35.63B
Nov 2020,$36.9B
Nov 2020,$38.33B
Nov 2020,$39.41B
Nov 2020,$40.31B
Dec 2020,$39.98B
Dec 2020,$41.46B
Dec 2020,$41.99B
Dec 2020,$41.9B
Dec 2020,$41.62B
Dec 2020,$42.78B
Jan 2021,$44.32B
Jan 2021,$45.19B
Jan 2021,$42.78B
Feb 2021,$44.26B
Feb 2021,$44.94B
Feb 2021,$45.85B
Feb 2021,$44.32B
Mar 2021,$45.88B
Mar 2021,$46.7B
Mar 2021,$48.5B
Mar 2021,$48.49B
Apr 2021,$47.93B
Apr 2021,$47.86B
Apr 2021,$47.48B
Apr 2021,$46.85B
Apr 2021,$46.54B
May 2021,$46.36B
May 2021,$44.8B
May 2021,$44.23B
May 2021,$44.29B
May 2021,$43.96B
Jun 2021,$44.78B
Jun 2021,$45.72B
Jun 2021,$43.06B
Jul 2021,$43.78B
Jul 2021,$44.05B
Jul 2021,$43.64B
Jul 2021,$44.55B
Aug 2021,$45.07B
Aug 2021,$47B
Aug 2021,$44.9B
Aug 2021,$44.22B
Aug 2021,$44.79B
Sep 2021,$45.75B
Sep 2021,$48.42B
Sep 2021,$48.09B
Sep 2021,$44.25B
Oct 2021,$42.72B
Oct 2021,$42.48B
Oct 2021,$44.92B
Oct 2021,$42.09B
Oct 2021,$42.3B
Nov 2021,$44.59B
Nov 2021,$43.77B
Nov 2021,$44.22B
Nov 2021,$43.81B
Dec 2021,$44.62B
Dec 2021,$45.66B
