timeline,KDDI
30 Nov 2011,$28.84B
30 Dec 2011,$28.38B
31 Dec 2012,$31.72B
28 Feb 2013,$33.76B
29 Mar 2013,$36.81B
30 Apr 2013,$36.56B
31 May 2013,$34.85B
28 Jun 2013,$40.05B
31 Jul 2013,$42.18B
30 Aug 2013,$36.5B
30 Sep 2013,$39.37B
31 Oct 2013,$41.2B
29 Nov 2013,$48.02B
31 Dec 2013,$47.13B
31 Jan 2014,$42.43B
28 Feb 2014,$46.41B
31 Mar 2014,$48.49B
30 Apr 2014,$44.29B
30 May 2014,$49.67B
30 Jun 2014,$50.87B
31 Jul 2014,$48.67B
29 Aug 2014,$48.29B
30 Sep 2014,$50.32B
31 Oct 2014,$55.23B
28 Nov 2014,$53.87B
31 Dec 2014,$53.37B
30 Jan 2015,$59.04B
27 Feb 2015,$57.98B
31 Mar 2015,$56.77B
30 Apr 2015,$59.78B
29 May 2015,$56.86B
30 Jun 2015,$60.31B
31 Jul 2015,$63.6B
31 Aug 2015,$62.37B
30 Sep 2015,$55.72B
30 Oct 2015,$60.98B
30 Nov 2015,$62.36B
31 Dec 2015,$65.57B
29 Jan 2016,$63.37B
31 Mar 2016,$66.58B
29 Apr 2016,$72.98B
31 May 2016,$72.7B
30 Jun 2016,$73.25B
29 Jul 2016,$72.58B
31 Aug 2016,$71.38B
30 Sep 2016,$74.44B
31 Oct 2016,$73.83B
30 Nov 2016,$64.49B
30 Dec 2016,$61.56B
31 Jan 2017,$64.47B
28 Feb 2017,$63.04B
31 Mar 2017,$64.23B
28 Apr 2017,$65.29B
31 May 2017,$67.98B
30 Jun 2017,$64.97B
31 Jul 2017,$64.47B
31 Aug 2017,$65.24B
29 Sep 2017,$64.08B
31 Oct 2017,$64.87B
30 Nov 2017,$69.57B
29 Dec 2017,$60.22B
31 Jan 2018,$61.37B
28 Feb 2018,$59.2B
30 Mar 2018,$61.57B
30 Apr 2018,$64.78B
31 May 2018,$65.14B
29 Jun 2018,$65.95B
31 Jul 2018,$67.44B
31 Aug 2018,$63.41B
28 Sep 2018,$66.26B
31 Oct 2018,$59.48B
30 Nov 2018,$55.84B
31 Dec 2018,$56.25B
31 Jan 2019,$59B
28 Feb 2019,$57.11B
29 Mar 2019,$50.76B
30 Apr 2019,$53.47B
31 May 2019,$59.86B
28 Jun 2019,$59.77B
31 Jul 2019,$61.36B
30 Aug 2019,$62.17B
30 Sep 2019,$60.77B
31 Oct 2019,$63.83B
29 Nov 2019,$66.36B
31 Dec 2019,$68.7B
31 Jan 2020,$69.07B
28 Feb 2020,$64.12B
26 Mar 2020,$67.5B
31 Mar 2020,$67.89B
30 Apr 2020,$67.06B
4 May 2020,$66.5B
29 May 2020,$66.99B
2 Jul 2020,$66.11B
7 Jul 2020,$67.52B
23 Jul 2020,$69.7B
31 Jul 2020,$70B
6 Aug 2020,$68.52B
13 Aug 2020,$69.1B
19 Aug 2020,$71.07B
2 Sep 2020,$62.87B
16 Sep 2020,$60.66B
30 Sep 2020,$56.52B
8 Oct 2020,$57.84B
15 Oct 2020,$58.68B
22 Oct 2020,$58.9B
30 Oct 2020,$60.06B
13 Nov 2020,$67.75B
20 Nov 2020,$67.34B
25 Nov 2020,$66.37B
30 Nov 2020,$65.91B
4 Dec 2020,$66.24B
11 Dec 2020,$64.67B
18 Dec 2020,$66.99B
31 Dec 2020,$67.76B
8 Jan 2021,$70.35B
29 Jan 2021,$67.28B
5 Feb 2021,$71.02B
11 Feb 2021,$73.75B
18 Feb 2021,$72.73B
25 Feb 2021,$73.13B
26 Feb 2021,$70.83B
11 Mar 2021,$72.95B
18 Mar 2021,$73.85B
24 Mar 2021,$72.52B
30 Mar 2021,$72.56B
31 Mar 2021,$70.03B
9 Apr 2021,$72.63B
16 Apr 2021,$72.09B
21 Apr 2021,$70.62B
30 Apr 2021,$69.07B
6 May 2021,$69.4B
12 May 2021,$70.65B
18 May 2021,$76.37B
31 May 2021,$76.56B
4 Jun 2021,$75.68B
11 Jun 2021,$74.68B
30 Jun 2021,$70.75B
12 Jul 2021,$71.5B
19 Jul 2021,$71.19B
30 Jul 2021,$68.55B
6 Aug 2021,$68.94B
13 Aug 2021,$69.98B
20 Aug 2021,$69.07B
27 Aug 2021,$69.98B
3 Sep 2021,$75.02B
10 Sep 2021,$76.05B
17 Sep 2021,$78.48B
24 Sep 2021,$76.95B
2 Oct 2021,$74.98B
9 Oct 2021,$72.93B
16 Oct 2021,$73.25B
23 Oct 2021,$74.54B
30 Oct 2021,$68.31B
6 Nov 2021,$68.74B
13 Nov 2021,$67.5B
20 Nov 2021,$68.55B
27 Nov 2021,$66.77B
4 Dec 2021,$65.21B
10 Dec 2021,$66.32B
