timeline,Nidec
31 Dec 2010,$14.72B
31 Mar 2011,$11.97B
30 Nov 2011,$12.04B
30 Dec 2011,$11.75B
31 Dec 2012,$7.87B
30 Apr 2013,$9.13B
31 May 2013,$9.23B
28 Jun 2013,$9.5B
31 Jul 2013,$10.95B
30 Aug 2013,$10.03B
30 Sep 2013,$11.11B
31 Oct 2013,$13.36B
29 Nov 2013,$13.35B
31 Dec 2013,$13.54B
31 Jan 2014,$15.46B
28 Feb 2014,$16.86B
31 Mar 2014,$16.83B
30 Apr 2014,$15.64B
30 May 2014,$16.04B
30 Jun 2014,$16.9B
31 Jul 2014,$18.17B
29 Aug 2014,$17.64B
30 Sep 2014,$18.71B
31 Oct 2014,$18.24B
28 Nov 2014,$18.42B
31 Dec 2014,$18.44B
30 Jan 2015,$19.16B
27 Feb 2015,$18.98B
31 Mar 2015,$19.57B
30 Apr 2015,$22.14B
29 May 2015,$21.57B
30 Jun 2015,$22.08B
31 Jul 2015,$26.45B
31 Aug 2015,$23.18B
30 Sep 2015,$20.36B
30 Oct 2015,$22.6B
30 Nov 2015,$23.1B
31 Dec 2015,$21.87B
29 Jan 2016,$20.31B
29 Feb 2016,$19.83B
31 Mar 2016,$20.32B
29 Apr 2016,$22.46B
31 May 2016,$22.9B
30 Jun 2016,$22.28B
29 Jul 2016,$26.7B
31 Aug 2016,$26.87B
30 Sep 2016,$27.14B
31 Oct 2016,$28.84B
30 Nov 2016,$27B
30 Dec 2016,$25.72B
31 Jan 2017,$27.68B
28 Feb 2017,$27.59B
31 Mar 2017,$28.11B
28 Apr 2017,$27.25B
31 May 2017,$29.37B
30 Jun 2017,$30.42B
31 Jul 2017,$32.58B
31 Aug 2017,$33.39B
29 Sep 2017,$36.37B
31 Oct 2017,$39.29B
30 Nov 2017,$40.36B
29 Dec 2017,$41.46B
31 Jan 2018,$47.51B
28 Feb 2018,$47.55B
30 Mar 2018,$45.56B
30 Apr 2018,$46.49B
31 May 2018,$45.93B
29 Jun 2018,$44.52B
31 Jul 2018,$43.1B
31 Aug 2018,$42.75B
28 Sep 2018,$42.48B
31 Oct 2018,$37.73B
30 Nov 2018,$39.24B
31 Dec 2018,$33.28B
31 Jan 2019,$35.19B
28 Feb 2019,$35.78B
29 Mar 2019,$37.31B
30 Apr 2019,$41.6B
31 May 2019,$36.57B
28 Jun 2019,$40.22B
31 Jul 2019,$39.89B
30 Aug 2019,$38.31B
30 Sep 2019,$39.59B
31 Oct 2019,$43.51B
31 Dec 2019,$40.56B
31 Jan 2020,$37.95B
28 Feb 2020,$34.3B
31 Mar 2020,$30.39B
23 Apr 2020,$29.61B
30 Apr 2020,$34.54B
29 May 2020,$36.04B
30 Jun 2020,$39.18B
2 Jul 2020,$38.36B
13 Jul 2020,$38.86B
17 Jul 2020,$41.26B
23 Jul 2020,$44.95B
31 Jul 2020,$46.87B
4 Aug 2020,$46.49B
7 Aug 2020,$47.79B
19 Aug 2020,$49.68B
31 Aug 2020,$49.47B
4 Sep 2020,$49.26B
9 Sep 2020,$49.62B
16 Sep 2020,$53.7B
24 Sep 2020,$52.99B
30 Sep 2020,$54.36B
9 Oct 2020,$56.11B
16 Oct 2020,$56.13B
23 Oct 2020,$59.33B
30 Oct 2020,$58.84B
5 Nov 2020,$62.56B
13 Nov 2020,$63.3B
19 Nov 2020,$63.84B
25 Nov 2020,$67.63B
30 Nov 2020,$74.89B
4 Dec 2020,$73.8B
18 Dec 2020,$72.73B
31 Dec 2020,$73.74B
8 Jan 2021,$79.16B
22 Jan 2021,$80.36B
29 Jan 2021,$77.8B
5 Feb 2021,$77.33B
12 Feb 2021,$82.78B
19 Feb 2021,$80.65B
26 Feb 2021,$74.45B
19 Mar 2021,$72.95B
25 Mar 2021,$70.42B
31 Mar 2021,$71.35B
6 Apr 2021,$73.37B
16 Apr 2021,$75.22B
21 Apr 2021,$72.44B
30 Apr 2021,$68.08B
7 May 2021,$66.88B
14 May 2021,$64.03B
20 May 2021,$65.78B
28 May 2021,$67.73B
4 Jun 2021,$67.1B
11 Jun 2021,$65.6B
30 Jun 2021,$68.19B
9 Jul 2021,$66.97B
16 Jul 2021,$69.57B
20 Jul 2021,$67.82B
30 Jul 2021,$68.79B
6 Aug 2021,$69.15B
13 Aug 2021,$68.79B
20 Aug 2021,$66.75B
27 Aug 2021,$66.92B
31 Aug 2021,$67.24B
3 Sep 2021,$70.65B
10 Sep 2021,$70.7B
20 Sep 2021,$73.42B
24 Sep 2021,$71.1B
2 Oct 2021,$65.41B
9 Oct 2021,$61.76B
16 Oct 2021,$64.68B
23 Oct 2021,$64.23B
30 Oct 2021,$65.43B
6 Nov 2021,$66.88B
13 Nov 2021,$67.26B
20 Nov 2021,$69.43B
27 Nov 2021,$63.95B
4 Dec 2021,$70B
9 Dec 2021,$68.96B
