timeline,Recruit
30 Nov 2015,$17.67B
31 Dec 2015,$16.69B
29 Jan 2016,$17.98B
29 Feb 2016,$16.63B
31 Mar 2016,$17.26B
29 Apr 2016,$17.84B
31 May 2016,$19.23B
30 Jun 2016,$20.52B
29 Jul 2016,$21.15B
31 Aug 2016,$21.6B
30 Sep 2016,$22.93B
31 Oct 2016,$22.79B
30 Nov 2016,$21.91B
30 Dec 2016,$22.77B
31 Jan 2017,$24.56B
28 Feb 2017,$27.59B
31 Mar 2017,$28.29B
28 Apr 2017,$28.18B
31 May 2017,$29.49B
30 Jun 2017,$29.67B
31 Jul 2017,$29.74B
31 Aug 2017,$33.13B
29 Sep 2017,$36.19B
31 Oct 2017,$41.04B
30 Nov 2017,$39.47B
29 Dec 2017,$41.43B
31 Jan 2018,$40.85B
28 Feb 2018,$40.29B
30 Mar 2018,$41.48B
30 Apr 2018,$38.71B
31 May 2018,$46.55B
29 Jun 2018,$46.34B
31 Jul 2018,$45.97B
31 Aug 2018,$50.97B
28 Sep 2018,$55.87B
31 Oct 2018,$44.87B
30 Nov 2018,$46B
31 Dec 2018,$40.31B
31 Jan 2019,$44.64B
28 Feb 2019,$46.92B
29 Mar 2019,$47.72B
30 Apr 2019,$49.79B
31 May 2019,$52.97B
28 Jun 2019,$55.71B
31 Jul 2019,$57.21B
30 Aug 2019,$50.51B
30 Sep 2019,$50.82B
31 Oct 2019,$54.98B
29 Nov 2019,$59.92B
31 Dec 2019,$62.06B
31 Jan 2020,$65.15B
28 Feb 2020,$56.48B
31 Mar 2020,$42.65B
30 Apr 2020,$49.2B
29 May 2020,$56.81B
30 Jun 2020,$56.41B
2 Jul 2020,$55.36B
14 Jul 2020,$55.95B
23 Jul 2020,$54.98B
27 Jul 2020,$55.25B
29 Jul 2020,$53.78B
31 Jul 2020,$51.45B
4 Aug 2020,$55.2B
6 Aug 2020,$56.15B
11 Aug 2020,$58.1B
13 Aug 2020,$59.15B
19 Aug 2020,$59.37B
31 Aug 2020,$62.98B
10 Sep 2020,$64.49B
16 Sep 2020,$66.87B
24 Sep 2020,$65.8B
30 Sep 2020,$64.89B
8 Oct 2020,$67.02B
16 Oct 2020,$66.36B
22 Oct 2020,$66.67B
30 Oct 2020,$62.73B
6 Nov 2020,$70.53B
12 Nov 2020,$73.05B
19 Nov 2020,$70.8B
20 Nov 2020,$71.47B
25 Nov 2020,$72.15B
1 Dec 2020,$67.67B
4 Dec 2020,$64.72B
11 Dec 2020,$66.19B
18 Dec 2020,$67.06B
31 Dec 2020,$68.81B
4 Jan 2021,$68.12B
8 Jan 2021,$70.27B
15 Jan 2021,$71.77B
22 Jan 2021,$74.16B
29 Jan 2021,$71.59B
12 Feb 2021,$80.21B
16 Feb 2021,$82.39B
26 Feb 2021,$81.33B
1 Mar 2021,$84.29B
11 Mar 2021,$76.16B
19 Mar 2021,$77.97B
25 Mar 2021,$77B
31 Mar 2021,$80.01B
7 Apr 2021,$77.7B
13 Apr 2021,$78.52B
21 Apr 2021,$73.97B
30 Apr 2021,$74.11B
7 May 2021,$78.85B
13 May 2021,$72.63B
19 May 2021,$77.03B
25 May 2021,$82.79B
31 May 2021,$82.58B
4 Jun 2021,$83.13B
11 Jun 2021,$84.51B
30 Jun 2021,$80.86B
9 Jul 2021,$82.06B
16 Jul 2021,$83.51B
21 Jul 2021,$82.97B
30 Jul 2021,$87.18B
6 Aug 2021,$86.89B
12 Aug 2021,$94.15B
13 Aug 2021,$93.85B
20 Aug 2021,$92.07B
27 Aug 2021,$95.09B
31 Aug 2021,$96.6B
3 Sep 2021,$98.15B
10 Sep 2021,$105.28B
17 Sep 2021,$105.85B
24 Sep 2021,$105.86B
2 Oct 2021,$101.52B
9 Oct 2021,$101.19B
16 Oct 2021,$105.24B
23 Oct 2021,$100.81B
30 Oct 2021,$109.49B
6 Nov 2021,$113.63B
13 Nov 2021,$115.24B
20 Nov 2021,$110.41B
27 Nov 2021,$102.32B
4 Dec 2021,$105B
9 Dec 2021,$105.59B
